step,customer,age,gender,zipcodeOri,merchant,zipMerchant,category,amount,fraud
4,'C1156745710','1','M','28007','M480139044','28007','es_health',101.68,0
4,'C2144330803','2','M','28007','M480139044','28007','es_health',50.99,0
4,'C382004679','3','M','28007','M480139044','28007','es_health',32.27,0
4,'C200882642','3','M','28007','M480139044','28007','es_health',1.42,0
4,'C435572486','1','F','28007','M480139044','28007','es_health',118.15,0
4,'C1466730207','4','F','28007','M480139044','28007','es_health',40.25,0
4,'C2059060401','2','M','28007','M480139044','28007','es_health',84.8,0
4,'C2082187659','2','M','28007','M480139044','28007','es_health',79.66,0
4,'C1981764666','4','F','28007','M480139044','28007','es_health',131.34,0
4,'C2073207955','3','M','28007','M480139044','28007','es_health',120.76,0
4,'C423250256','4','F','28007','M480139044','28007','es_health',220.42,0
4,'C1586862598','3','M','28007','M480139044','28007','es_health',99.09,0
4,'C706956926','2','F','28007','M480139044','28007','es_health',38.37,0
4,'C1567160901','2','F','28007','M480139044','28007','es_health',2.78,0
5,'C1811749392','2','F','28007','M480139044','28007','es_health',28.01,0
5,'C1940107136','2','F','28007','M480139044','28007','es_health',39.3,0
5,'C1202775726','3','F','28007','M480139044','28007','es_health',24.31,0
5,'C1242686524','2','M','28007','M480139044','28007','es_health',63.03,0
5,'C1237272991','2','F','28007','M480139044','28007','es_health',26.27,0
5,'C1791347994','3','M','28007','M480139044','28007','es_health',12.67,0
5,'C1827713539','4','M','28007','M480139044','28007','es_health',151.49,0
5,'C1564253251','2','F','28007','M480139044','28007','es_health',148.16,0
5,'C1259389151','3','F','28007','M480139044','28007','es_health',289.04,0
5,'C717773873','2','M','28007','M480139044','28007','es_health',95.23,0
5,'C1124718683','0','M','28007','M480139044','28007','es_health',48.64,0
5,'C1642374729','5','F','28007','M480139044','28007','es_health',123.47,0
5,'C1153792315','1','F','28007','M480139044','28007','es_health',93.35,0
5,'C597122637','4','M','28007','M480139044','28007','es_health',170.13,0
5,'C1401244511','3','M','28007','M480139044','28007','es_health',34.42,0
5,'C2049382420','3','M','28007','M480139044','28007','es_health',50.78,0
5,'C149511515','5','F','28007','M480139044','28007','es_health',131.4,0
5,'C1407087523','4','F','28007','M480139044','28007','es_health',265.67,0
6,'C274747841','2','F','28007','M480139044','28007','es_health',87.45,0
6,'C1360265061','2','F','28007','M480139044','28007','es_health',28.04,0
6,'C1654186046','1','M','28007','M480139044','28007','es_health',260.58,0
6,'C1178726445','3','F','28007','M480139044','28007','es_health',65.94,0
6,'C1171394321','4','M','28007','M480139044','28007','es_health',175.68,0
6,'C952397244','4','M','28007','M480139044','28007','es_health',1.9,0
6,'C1427539236','2','F','28007','M480139044','28007','es_health',123.55,0
6,'C1342849651','1','M','28007','M480139044','28007','es_health',1.19,0
6,'C263788122','3','F','28007','M480139044','28007','es_health',36.45,0
6,'C1192557067','1','F','28007','M480139044','28007','es_health',300.84,0
6,'C1125132707','3','F','28007','M480139044','28007','es_health',46.79,0
6,'C1713690936','3','F','28007','M480139044','28007','es_health',4.52,0
6,'C869394149','1','F','28007','M480139044','28007','es_health',152.26,0
6,'C1580712621','4','M','28007','M480139044','28007','es_health',61.74,0
6,'C1607644979','2','F','28007','M480139044','28007','es_health',88.41,0
6,'C583110837','3','M','28007','M480139044','28007','es_health',247.2,0
6,'C594793398','2','F','28007','M480139044','28007','es_health',174.74,0
6,'C2094120486','2','M','28007','M480139044','28007','es_health',262.03,0
6,'C299734038','5','F','28007','M480139044','28007','es_health',10.93,0
6,'C647931416','3','F','28007','M480139044','28007','es_health',237.36,0
7,'C894204131','1','M','28007','M480139044','28007','es_health',9.47,0
7,'C192974759','1','F','28007','M480139044','28007','es_health',145.68,0
7,'C1788210321','2','F','28007','M480139044','28007','es_health',43.43,0
7,'C1435653171','1','F','28007','M480139044','28007','es_health',49.68,0
7,'C1204780618','4','M','28007','M480139044','28007','es_health',14.33,0
7,'C2088631865','3','F','28007','M480139044','28007','es_health',114.65,0
7,'C299734038','5','F','28007','M480139044','28007','es_health',32.83,0
7,'C1543555122','2','F','28007','M480139044','28007','es_health',295.66,0
7,'C1069648311','2','M','28007','M480139044','28007','es_health',61.88,0
7,'C974315171','3','M','28007','M480139044','28007','es_health',97.96,0
7,'C56852547','3','F','28007','M480139044','28007','es_health',152.96,0
7,'C1609425799','1','F','28007','M480139044','28007','es_health',123.88,0
7,'C1299745394','2','M','28007','M480139044','28007','es_health',117.77,0
7,'C1981040988','4','M','28007','M480139044','28007','es_health',73.02,0
7,'C1355090926','3','F','28007','M480139044','28007','es_health',83.55,0
7,'C423250256','4','F','28007','M480139044','28007','es_health',262.83,0
7,'C264950364','2','M','28007','M480139044','28007','es_health',53.76,0
7,'C380082625','4','F','28007','M480139044','28007','es_health',73.73,0
7,'C1253760419','2','F','28007','M480139044','28007','es_health',122.5,0
7,'C741739992','2','F','28007','M480139044','28007','es_health',121.66,0
7,'C150891114','2','F','28007','M480139044','28007','es_health',65.49,0
7,'C1131883667','4','F','28007','M480139044','28007','es_health',362.46,0
7,'C212188289','4','M','28007','M480139044','28007','es_health',104.74,0
7,'C1428252955','1','F','28007','M480139044','28007','es_health',192.53,0
7,'C528985379','3','F','28007','M480139044','28007','es_health',29.07,0
8,'C263788122','3','F','28007','M480139044','28007','es_health',31.6,0
8,'C619451848','2','F','28007','M480139044','28007','es_health',13.93,0
8,'C1040405455','6','F','28007','M480139044','28007','es_health',110.2,0
8,'C1903013338','3','M','28007','M480139044','28007','es_health',387.02,0
8,'C2114634161','3','F','28007','M480139044','28007','es_health',264.15,0
8,'C1902378891','5','F','28007','M480139044','28007','es_health',143.45,0
8,'C1825851538','4','F','28007','M480139044','28007','es_health',183.67,0
8,'C1051985937','2','F','28007','M480139044','28007','es_health',8.27,0
8,'C1728997564','5','F','28007','M480139044','28007','es_health',40.13,0
8,'C904725981','1','F','28007','M480139044','28007','es_health',111.68,0
8,'C637279747','4','F','28007','M480139044','28007','es_health',52.05,0
8,'C1472480119','2','F','28007','M480139044','28007','es_health',43.11,0
8,'C389212629','2','F','28007','M480139044','28007','es_health',112.38,0
8,'C98014803','2','F','28007','M480139044','28007','es_health',113.35,0
8,'C2130894809','2','F','28007','M480139044','28007','es_health',66.21,0
8,'C1884908595','2','F','28007','M480139044','28007','es_health',90.11,0
8,'C189483600','2','M','28007','M480139044','28007','es_health',207.44,0
8,'C1586862598','3','M','28007','M480139044','28007','es_health',88.18,0
9,'C758849918','2','F','28007','M480139044','28007','es_health',87.62,0
9,'C150891114','2','F','28007','M480139044','28007','es_health',109.9,0
9,'C521213907','1','M','28007','M480139044','28007','es_health',123.62,0
9,'C545102882','4','F','28007','M480139044','28007','es_health',148.04,0
9,'C495473039','4','F','28007','M480139044','28007','es_health',269.42,0
9,'C846596637','2','M','28007','M480139044','28007','es_health',116.66,0
9,'C1101433185','2','F','28007','M480139044','28007','es_health',109.65,0
9,'C1850482225','4','M','28007','M480139044','28007','es_health',145.54,0
9,'C499129070','3','M','28007','M480139044','28007','es_health',95.24,0
9,'C1840859519','3','F','28007','M480139044','28007','es_health',76.47,0
9,'C801797246','2','F','28007','M480139044','28007','es_health',35.61,0
9,'C1767839998','2','F','28007','M480139044','28007','es_health',85.22,0
9,'C586511331','5','F','28007','M480139044','28007','es_health',38.51,0
9,'C1788210321','2','F','28007','M480139044','28007','es_health',140.49,0
9,'C230958403','2','M','28007','M480139044','28007','es_health',132.43,0
9,'C1612487865','3','M','28007','M480139044','28007','es_health',45.07,0
9,'C324262354','4','F','28007','M480139044','28007','es_health',81.07,0
9,'C1415704373','3','F','28007','M480139044','28007','es_health',46.31,0
9,'C497553923','1','F','28007','M480139044','28007','es_health',201.24,0
9,'C1545341907','4','F','28007','M480139044','28007','es_health',16.94,0
10,'C226946948','3','M','28007','M480139044','28007','es_health',189.04,0
10,'C2027325203','5','F','28007','M480139044','28007','es_health',187.07,0
10,'C1806422891','2','M','28007','M480139044','28007','es_health',33.09,0
10,'C86466018','2','M','28007','M480139044','28007','es_health',111.57,0
10,'C1297100897','4','M','28007','M480139044','28007','es_health',273.11,0
10,'C1896147467','2','F','28007','M480139044','28007','es_health',42.7,0
10,'C154987119','3','M','28007','M480139044','28007','es_health',56.27,0
10,'C652364872','3','F','28007','M480139044','28007','es_health',68.49,0
10,'C1463141739','3','M','28007','M480139044','28007','es_health',1.06,0
10,'C140804810','2','M','28007','M480139044','28007','es_health',40.14,0
10,'C723509264','4','F','28007','M480139044','28007','es_health',93.79,0
10,'C2093963973','2','M','28007','M480139044','28007','es_health',261.14,0
10,'C2073207955','3','M','28007','M480139044','28007','es_health',197.62,0
10,'C182918114','5','F','28007','M480139044','28007','es_health',156.76,0
10,'C1767839998','2','F','28007','M480139044','28007','es_health',46.39,0
10,'C379301962','3','F','28007','M480139044','28007','es_health',41.22,0
10,'C172707110','3','F','28007','M480139044','28007','es_health',104.97,0
10,'C1595099029','2','F','28007','M480139044','28007','es_health',75.85,0
10,'C1088853847','2','F','28007','M480139044','28007','es_health',61.25,0
10,'C95356','1','M','28007','M480139044','28007','es_health',42.26,0
10,'C1174217921','3','M','28007','M480139044','28007','es_health',80.07,0
11,'C1924305208','0','M','28007','M480139044','28007','es_health',16.51,0
11,'C484986935','2','F','28007','M480139044','28007','es_health',8.4,0
11,'C1952580233','4','F','28007','M480139044','28007','es_health',256.73,0
11,'C1341583263','2','M','28007','M480139044','28007','es_health',112.03,0
11,'C1850482225','4','M','28007','M480139044','28007','es_health',246.23,0
11,'C974315171','3','M','28007','M480139044','28007','es_health',16.39,0
11,'C1992185297','3','F','28007','M480139044','28007','es_health',150.33,0
11,'C495473039','4','F','28007','M480139044','28007','es_health',1.72,0
11,'C2033826237','4','M','28007','M480139044','28007','es_health',100.52,0
11,'C1896147467','2','F','28007','M480139044','28007','es_health',95.93,0
12,'C1192557067','1','F','28007','M480139044','28007','es_health',230.04,0
12,'C1924305208','0','M','28007','M480139044','28007','es_health',24.49,0
12,'C484986935','2','F','28007','M480139044','28007','es_health',10.96,0
12,'C2044438336','2','M','28007','M480139044','28007','es_health',101.77,0
12,'C972314568','3','F','28007','M480139044','28007','es_health',90.84,0
12,'C968150727','2','F','28007','M480139044','28007','es_health',41.88,0
12,'C1886620334','2','F','28007','M480139044','28007','es_health',81.33,0
12,'C1754160937','4','F','28007','M480139044','28007','es_health',120.64,0
12,'C294914134','2','F','28007','M480139044','28007','es_health',66.41,0
12,'C533940472','3','M','28007','M480139044','28007','es_health',88.82,0
12,'C1020019215','4','F','28007','M480139044','28007','es_health',28.88,0
12,'C1317710133','3','M','28007','M480139044','28007','es_health',171.73,0
12,'C1690923384','6','F','28007','M480139044','28007','es_health',53.23,0
12,'C1747513604','6','M','28007','M480139044','28007','es_health',17.2,0
12,'C1124449361','6','M','28007','M480139044','28007','es_health',10.78,0
12,'C353418507','4','M','28007','M480139044','28007','es_health',24.14,0
12,'C691894544','2','F','28007','M480139044','28007','es_health',50.68,0
12,'C608244416','1','F','28007','M480139044','28007','es_health',15.38,0
12,'C809005315','2','F','28007','M480139044','28007','es_health',281.27,0
12,'C1933075111','2','F','28007','M480139044','28007','es_health',130.53,0
12,'C2001505633','5','F','28007','M480139044','28007','es_health',197.5,0
12,'C2129810887','4','F','28007','M480139044','28007','es_health',154.49,0
13,'C1456179400','5','F','28007','M480139044','28007','es_health',94.24,0
13,'C1120165888','2','M','28007','M480139044','28007','es_health',170.44,0
13,'C967790734','4','F','28007','M480139044','28007','es_health',76.58,0
13,'C384136428','1','M','28007','M480139044','28007','es_health',98.83,0
13,'C351144071','2','M','28007','M480139044','28007','es_health',136.32,0
13,'C1853365964','4','M','28007','M480139044','28007','es_health',25.84,0
13,'C872043603','4','F','28007','M480139044','28007','es_health',129.8,0
13,'C1428252955','1','F','28007','M480139044','28007','es_health',130.49,0
13,'C1453715655','1','F','28007','M480139044','28007','es_health',165.65,0
13,'C2042324703','2','M','28007','M480139044','28007','es_health',14.09,0
13,'C706956926','2','F','28007','M480139044','28007','es_health',36.07,0
13,'C1194290880','2','M','28007','M480139044','28007','es_health',23.59,0
13,'C1235359960','1','F','28007','M480139044','28007','es_health',30.19,0
13,'C346428597','3','M','28007','M480139044','28007','es_health',45.19,0
13,'C499760818','3','M','28007','M480139044','28007','es_health',120.75,0
13,'C426715237','1','M','28007','M480139044','28007','es_health',54.72,0
13,'C430016376','3','F','28007','M480139044','28007','es_health',9.47,0
13,'C120279480','3','F','28007','M480139044','28007','es_health',230.2,0
13,'C150891114','2','F','28007','M480139044','28007','es_health',328.0,0
13,'C1903013338','3','M','28007','M480139044','28007','es_health',41.77,0
13,'C1319350044','3','M','28007','M480139044','28007','es_health',12.85,0
13,'C696720817','5','F','28007','M480139044','28007','es_health',37.3,0
13,'C115540448','5','F','28007','M480139044','28007','es_health',134.43,0
13,'C1564636486','5','M','28007','M480139044','28007','es_health',52.39,0
13,'C1271484467','6','F','28007','M480139044','28007','es_health',174.04,0
13,'C553434543','2','M','28007','M480139044','28007','es_health',254.87,0
14,'C1540577903','2','F','28007','M480139044','28007','es_health',114.94,0
14,'C1837200499','4','M','28007','M480139044','28007','es_health',181.49,0
14,'C586511331','5','F','28007','M480139044','28007','es_health',124.43,0
14,'C704456922','2','M','28007','M480139044','28007','es_health',30.22,0
14,'C1148772789','4','M','28007','M480139044','28007','es_health',87.93,0
14,'C1208123566','6','M','28007','M480139044','28007','es_health',167.17,0
14,'C299734038','5','F','28007','M480139044','28007','es_health',157.0,0
14,'C285513182','5','M','28007','M480139044','28007','es_health',209.57,0
14,'C1133298590','3','M','28007','M480139044','28007','es_health',163.4,0
14,'C1428252955','1','F','28007','M480139044','28007','es_health',203.04,0
14,'C2130871815','4','M','28007','M480139044','28007','es_health',19.09,0
14,'C1590275312','2','M','28007','M480139044','28007','es_health',128.78,0
14,'C908646797','3','M','28007','M480139044','28007','es_health',51.36,0
14,'C1497135910','2','M','28007','M480139044','28007','es_health',152.34,0
14,'C496697462','4','M','28007','M480139044','28007','es_health',259.35,0
14,'C625569664','4','F','28007','M480139044','28007','es_health',12.96,0
14,'C691894544','2','F','28007','M480139044','28007','es_health',8.98,0
15,'C954359387','4','M','28007','M480139044','28007','es_health',110.38,0
15,'C1754160937','4','F','28007','M480139044','28007','es_health',92.66,0
15,'C119274188','2','F','28007','M480139044','28007','es_health',30.64,0
15,'C1818893825','3','M','28007','M480139044','28007','es_health',85.67,0
15,'C1537903478','4','M','28007','M480139044','28007','es_health',157.67,0
15,'C1817842389','5','M','28007','M480139044','28007','es_health',253.29,0
15,'C199664659','2','M','28007','M480139044','28007','es_health',147.29,0
15,'C384136428','1','M','28007','M480139044','28007','es_health',17.55,0
15,'C880450043','5','F','28007','M480139044','28007','es_health',13.77,0
15,'C1962882634','1','M','28007','M480139044','28007','es_health',172.69,0
15,'C2095181585','4','M','28007','M480139044','28007','es_health',24.47,0
15,'C2105324799','4','M','28007','M480139044','28007','es_health',26.1,0
15,'C1178726445','3','F','28007','M480139044','28007','es_health',170.32,0
15,'C896659218','4','F','28007','M480139044','28007','es_health',103.34,0
15,'C1100289413','3','M','28007','M480139044','28007','es_health',51.98,0
15,'C1153792315','1','F','28007','M480139044','28007','es_health',84.3,0
15,'C1440340988','5','F','28007','M480139044','28007','es_health',98.25,0
15,'C877486986','0','F','28007','M480139044','28007','es_health',97.26,0
15,'C571254990','3','F','28007','M480139044','28007','es_health',212.43,0
15,'C1192557067','1','F','28007','M480139044','28007','es_health',89.59,0
15,'C1897566795','3','F','28007','M480139044','28007','es_health',110.38,0
16,'C321375878','5','F','28007','M480139044','28007','es_health',1.43,0
16,'C985780492','2','F','28007','M480139044','28007','es_health',59.9,0
16,'C1940107136','2','F','28007','M480139044','28007','es_health',144.74,0
16,'C1312615175','4','F','28007','M480139044','28007','es_health',189.56,0
16,'C727502065','2','M','28007','M480139044','28007','es_health',285.6,0
16,'C132320296','2','M','28007','M480139044','28007','es_health',16.45,0
16,'C553121592','3','F','28007','M480139044','28007','es_health',107.49,0
16,'C1702053445','4','F','28007','M480139044','28007','es_health',45.3,0
16,'C614111561','1','M','28007','M480139044','28007','es_health',34.88,0
16,'C741739992','2','F','28007','M480139044','28007','es_health',107.66,0
16,'C1165343027','4','M','28007','M480139044','28007','es_health',4.87,0
16,'C1208164294','U','E','28007','M480139044','28007','es_health',117.99,0
16,'C962830776','2','M','28007','M480139044','28007','es_health',3.6,0
16,'C100045114','4','M','28007','M480139044','28007','es_health',35.88,0
16,'C1453715655','1','F','28007','M480139044','28007','es_health',134.77,0
16,'C1667161948','3','M','28007','M480139044','28007','es_health',37.72,0
16,'C1535419154','2','F','28007','M480139044','28007','es_health',78.98,0
16,'C606518659','2','F','28007','M480139044','28007','es_health',139.69,0
16,'C929919235','1','M','28007','M480139044','28007','es_health',103.6,0
16,'C287182059','4','M','28007','M480139044','28007','es_health',126.17,0
16,'C389281305','1','F','28007','M480139044','28007','es_health',85.49,0
16,'C1096642744','5','M','28007','M480139044','28007','es_health',86.18,0
16,'C1503009287','2','M','28007','M480139044','28007','es_health',125.01,0
17,'C115540448','5','F','28007','M480139044','28007','es_health',64.46,0
17,'C742393642','6','M','28007','M480139044','28007','es_health',188.36,0
17,'C2095181585','4','M','28007','M480139044','28007','es_health',185.38,0
17,'C1648492699','5','F','28007','M480139044','28007','es_health',24.14,0
17,'C463539622','2','M','28007','M480139044','28007','es_health',110.3,0
17,'C976232384','3','M','28007','M480139044','28007','es_health',151.11,0
17,'C1743702978','3','F','28007','M480139044','28007','es_health',107.69,0
17,'C1803182614','2','M','28007','M480139044','28007','es_health',96.79,0
17,'C897612698','4','M','28007','M480139044','28007','es_health',65.53,0
17,'C2128263275','2','M','28007','M480139044','28007','es_health',20.08,0
17,'C1775611696','1','F','28007','M480139044','28007','es_health',171.51,0
17,'C844005460','3','M','28007','M480139044','28007','es_health',12.27,0
17,'C404075543','4','M','28007','M480139044','28007','es_health',35.69,0
18,'C2144562698','1','F','28007','M480139044','28007','es_health',59.19,0
18,'C538394574','2','M','28007','M480139044','28007','es_health',278.5,0
18,'C1317710133','3','M','28007','M480139044','28007','es_health',8.49,0
18,'C354729496','4','M','28007','M480139044','28007','es_health',120.84,0
18,'C1400578246','4','M','28007','M480139044','28007','es_health',32.64,0
18,'C841747618','3','M','28007','M480139044','28007','es_health',34.62,0
18,'C788955662','6','F','28007','M480139044','28007','es_health',193.87,0
18,'C1734862058','4','M','28007','M480139044','28007','es_health',32.63,0
18,'C1497135910','2','M','28007','M480139044','28007','es_health',116.95,0
18,'C1847494890','3','M','28007','M480139044','28007','es_health',215.47,0
18,'C604378279','5','F','28007','M480139044','28007','es_health',142.85,0
18,'C1127607634','3','M','28007','M480139044','28007','es_health',172.3,0
18,'C1355090926','3','F','28007','M480139044','28007','es_health',165.76,0
18,'C1453715655','1','F','28007','M480139044','28007','es_health',211.94,0
18,'C1132392725','2','F','28007','M480139044','28007','es_health',150.88,0
18,'C450949430','5','F','28007','M480139044','28007','es_health',66.54,0
18,'C159675329','1','F','28007','M480139044','28007','es_health',222.72,0
18,'C140648396','3','F','28007','M480139044','28007','es_health',69.58,0
18,'C484986935','2','F','28007','M480139044','28007','es_health',16.09,0
19,'C1360806205','4','F','28007','M480139044','28007','es_health',145.35,0
19,'C2014729870','2','F','28007','M480139044','28007','es_health',147.13,0
19,'C1580712621','4','M','28007','M480139044','28007','es_health',117.53,0
19,'C841747618','3','M','28007','M480139044','28007','es_health',116.75,0
19,'C848738212','4','M','28007','M480139044','28007','es_health',34.75,0
19,'C1990341771','4','F','28007','M480139044','28007','es_health',227.39,0
19,'C1626218926','4','F','28007','M480139044','28007','es_health',51.86,0
19,'C311188483','5','M','28007','M480139044','28007','es_health',159.85,0
19,'C1100337763','2','F','28007','M480139044','28007','es_health',193.26,0
19,'C1461183743','2','F','28007','M480139044','28007','es_health',4.69,0
19,'C2002713196','2','M','28007','M480139044','28007','es_health',107.9,0
19,'C1305161735','6','M','28007','M480139044','28007','es_health',46.66,0
19,'C389281305','1','F','28007','M480139044','28007','es_health',69.15,0
19,'C5748649','4','F','28007','M480139044','28007','es_health',45.67,0
19,'C1545341907','4','F','28007','M480139044','28007','es_health',39.15,0
20,'C929298953','4','M','28007','M480139044','28007','es_health',0.88,0
20,'C809005315','2','F','28007','M480139044','28007','es_health',180.75,0
20,'C1134333439','3','M','28007','M480139044','28007','es_health',131.72,0
20,'C1994178184','4','M','28007','M480139044','28007','es_health',12.81,0
20,'C1911908507','2','M','28007','M480139044','28007','es_health',21.01,0
20,'C1887326984','2','F','28007','M480139044','28007','es_health',178.07,0
20,'C2117326082','4','M','28007','M480139044','28007','es_health',204.68,0
20,'C1818893825','3','M','28007','M480139044','28007','es_health',35.79,0
20,'C6433096','2','M','28007','M480139044','28007','es_health',23.35,0
20,'C234264885','3','F','28007','M480139044','28007','es_health',126.91,0
20,'C909582983','3','M','28007','M480139044','28007','es_health',83.63,0
20,'C60026962','2','F','28007','M480139044','28007','es_health',68.28,0
20,'C1233802034','3','F','28007','M480139044','28007','es_health',158.9,0
20,'C604267980','3','F','28007','M480139044','28007','es_health',48.07,0
20,'C430016376','3','F','28007','M480139044','28007','es_health',13.41,0
20,'C1100337763','2','F','28007','M480139044','28007','es_health',106.59,0
20,'C809339851','3','F','28007','M480139044','28007','es_health',16.52,0
20,'C1253760419','2','F','28007','M480139044','28007','es_health',8.84,0
20,'C1886620334','2','F','28007','M480139044','28007','es_health',55.68,0
20,'C1499241933','3','F','28007','M480139044','28007','es_health',271.06,0
21,'C1240560903','4','M','28007','M480139044','28007','es_health',12.23,0
21,'C1231572628','3','F','28007','M480139044','28007','es_health',6.22,0
21,'C967790734','4','F','28007','M480139044','28007','es_health',82.09,0
21,'C1734862058','4','M','28007','M480139044','28007','es_health',223.83,0
21,'C1353776547','6','M','28007','M480139044','28007','es_health',126.95,0
21,'C2001505633','5','F','28007','M480139044','28007','es_health',218.18,0
21,'C515794745','6','M','28007','M480139044','28007','es_health',29.06,0
21,'C1472480119','2','F','28007','M480139044','28007','es_health',0.86,0
21,'C1607323693','3','F','28007','M480139044','28007','es_health',0.85,0
21,'C833126375','4','M','28007','M480139044','28007','es_health',76.33,0
21,'C606518659','2','F','28007','M480139044','28007','es_health',43.13,0
